525,140,883,140,883,231,525,231
936,205,2091,205,2091,288,936,288
875,455,1120,455,1120,516,875,516
2196,463,2725,463,2725,520,2196,520
875,516,1106,516,1106,581,875,581
2283,525,2638,525,2638,599,2283,599
875,603,1159,603,1159,673,875,673
2447,634,2668,623,2671,690,2450,701
875,683,1527,690,1526,763,874,756
2436,774,2520,774,2520,826,2436,826
875,787,1172,787,1172,848,875,848
2590,796,2633,796,2633,818,2590,818
2520,804,2602,818,2597,845,2516,832
2432,822,2458,822,2458,844,2432,844
2594,822,2642,822,2642,844,2594,844
2463,826,2506,826,2506,844,2463,844
2441,844,2498,844,2498,870,2441,870
2598,844,2629,844,2629,861,2598,861
870,850,1969,857,1968,933,870,925
2563,861,2646,861,2646,905,2563,905
2480,870,2546,870,2546,896,2480,896
2594,888,2633,888,2633,905,2594,905
2450,892,2493,892,2493,914,2450,914
2502,896,2528,896,2528,918,2502,918
2568,905,2603,905,2603,927,2568,927
2603,910,2646,910,2646,927,2603,927
2432,914,2485,914,2485,940,2432,940
2480,918,2524,918,2524,940,2480,940
2520,923,2576,923,2576,949,2520,949
2424,934,2569,942,2567,970,2422,961
870,937,1794,946,1793,1020,870,1010
2563,949,2598,949,2598,966,2563,966
2354,958,2586,964,2585,994,2353,988
2358,988,2616,988,2616,1015,2358,1015
2541,1010,2611,1010,2611,1028,2541,1028
570,1131,612,1107,667,1207,625,1230
870,1032,1465,1032,1465,1102,870,1102
2375,1041,2476,1041,2476,1063,2375,1063
2535,1054,2594,1048,2596,1066,2537,1072
2351,1072,2531,1049,2535,1077,2354,1100
2528,1071,2572,1071,2572,1098,2528,1098
2401,1090,2504,1069,2515,1124,2412,1145
2502,1080,2533,1080,2533,1102,2502,1102
2499,1099,2567,1091,2570,1119,2502,1126
2353,1093,2397,1093,2397,1120,2353,1120
2485,1102,2506,1102,2506,1128,2485,1128
2355,1124,2427,1112,2432,1140,2359,1152
2363,1153,2484,1125,2490,1153,2369,1181
