195,48,317,50,316,83,194,80
333,71,724,73,724,103,332,101
15,85,48,85,48,592,15,592
309,160,391,160,391,181,309,181
753,162,936,162,936,183,753,183
307,183,418,183,418,208,307,208
779,183,904,181,904,209,780,211
306,211,405,211,405,238,306,238
836,222,914,218,915,242,837,246
307,244,375,244,375,268,307,268
309,276,408,278,407,302,308,299
307,304,433,304,433,328,307,328
306,331,589,333,589,361,305,359
304,363,535,363,535,390,304,390
169,400,193,400,193,418,169,418
307,402,729,402,729,427,307,427
305,435,622,433,622,461,306,463
670,439,919,439,919,463,670,463
306,484,416,476,418,500,307,508
503,481,643,477,644,502,504,506
670,478,817,478,817,504,670,504
306,520,469,516,470,541,307,545
603,517,817,517,817,543,603,543
504,520,576,520,576,543,504,543
